01092024181804, 14, "Stanley #2 Philips Screwdriver", $6.95, 1, 0.00, $6.95, September 1, 2024, 06:18:04 PM EDT
01092024181804, 2, "Tamiya 2oz paint - ferrari red", $2.39, 1, 0.00, $2.39, September 1, 2024, 06:18:04 PM EDT


01092024182749, 14, "Stanley #2 Philips Screwdriver", $6.95, 1, 0.00, $6.95, September 1, 2024, 06:27:49 PM EDT
01092024182749, 339921, "Yamaha KT 100 kart engine", $950, 1, 0.00, $950.0, September 1, 2024, 06:27:49 PM EDT


01092024182908, 2190, "Hefty 30 gal with handles - box 40", $19, 2, 0.00, $38.0, September 1, 2024, 06:29:08 PM EDT
01092024182908, 298765, "3x5 index cards - 100 count", $2.25, 15, 0.20, $27.0, September 1, 2024, 06:29:08 PM EDT
01092024182908, 65435689, "12x16 paper cutter with ruler", $35.95, 1, 0.00, $35.95, September 1, 2024, 06:29:08 PM EDT
01092024182908, 2, "Tamiya 2oz paint - ferrari red", $2.39, 4, 0.00, $9.56, September 1, 2024, 06:29:08 PM EDT
01092024182908, 97634, "Campagnolo 12 spd crankset - 53/39 175mm", $750, 1, 0.00, $750.0, September 1, 2024, 06:29:08 PM EDT


01092024204425, 2, "Tamiya 2oz paint - ferrari red", $2.39, 3, 0.00, $7.17, September 1, 2024, 08:44:25 PM EDT
01092024204425, RTX3452, "Laser Pointer", $38.8, 2, 0.00, $77.6, September 1, 2024, 08:44:25 PM EDT
01092024204425, 268, "Sidi Wire 2 carbon shoes - size 48", $499.99, 1, 0.00, $499.99, September 1, 2024, 08:44:25 PM EDT
01092024204425, 38712987, "Wilson NCAA official softball - 1 ea", $5.5, 4, 0.00, $22.0, September 1, 2024, 08:44:25 PM EDT
01092024204425, 286934, "1 lb - coffee beans", $6.5, 178, 0.20, $925.6, September 1, 2024, 08:44:25 PM EDT


01092024222350, 29741, "Plush teddy bear 8 inch", $24, 2, 0.00, $48.0, September 1, 2024, 10:23:50 PM EDT
01092024222350, 3451, "Oakley Jawbreaker sunglasses", $236, 2, 0.00, $472.0, September 1, 2024, 10:23:50 PM EDT
01092024222350, 22389, "Swingline Model B2200 Red stapler", $18, 1, 0.00, $18.0, September 1, 2024, 10:23:50 PM EDT
01092024222350, 198, "Box of 10 Sharpie Roller 0.5mm", $6.5, 5, 0.10, $29.25, September 1, 2024, 10:23:50 PM EDT


01092024225206, 2190, "Hefty 30 gal with handles - box 40", $19, 3, 0.00, $57.0, September 1, 2024, 10:52:06 PM EDT
01092024225206, RTX3452, "Laser Pointer", $38.8, 2, 0.00, $77.6, September 1, 2024, 10:52:06 PM EDT
01092024225206, 268, "Sidi Wire 2 carbon shoes - size 48", $499.99, 2, 0.00, $999.98, September 1, 2024, 10:52:06 PM EDT
01092024225206, 455654, "Park Tool 8mm threaded hook", $6.95, 5, 0.10, $31.28, September 1, 2024, 10:52:06 PM EDT


02092024001406, 38712987, "Wilson NCAA official softball - 1 ea", $5.5, 13, 0.15, $60.78, September 2, 2024, 12:14:06 AM EDT
02092024001406, 47831, "8x10 picture frame", $4.95, 5000, 0.20, $19800.0, September 2, 2024, 12:14:06 AM EDT
02092024001406, 22389, "Swingline Model B2200 Red stapler", $18, 321, 0.20, $4622.4, September 2, 2024, 12:14:06 AM EDT
02092024001406, 268, "Sidi Wire 2 carbon shoes - size 48", $499.99, 1, 0.00, $499.99, September 2, 2024, 12:14:06 AM EDT
02092024001406, 8543, "Ritchey 1 inch threaded headset - silver", $45, 1, 0.00, $45.0, September 2, 2024, 12:14:06 AM EDT


